"","data","media","media_interpolada"
"1",2015 jan,398.01015586853,398.01015586853
"2",2015 fev,398.717721004614,398.717721004614
"3",2015 mar,399.677506880327,399.677506880327
"4",2015 abr,401.461986144935,401.461986144935
"5",2015 mai,400.946146351207,400.946146351207
"6",2015 jun,400.28353267308,400.28353267308
"7",2015 jul,399.960375515483,399.960375515483
"8",2015 ago,399.403691643022,399.403691643022
"9",2015 set,399.730966584004,399.730966584004
"10",2015 out,402.275109332541,402.275109332541
"11",2015 nov,401.132414825203,401.132414825203
"12",2015 dez,400.323159937522,400.323159937522
"13",2016 jan,402.396486799294,402.396486799294
"14",2016 fev,403.371749587944,403.371749587944
"15",2016 mar,403.690875404759,403.690875404759
"16",2016 abr,402.19724827721,402.19724827721
"17",2016 mai,403.989504388591,403.989504388591
"18",2016 jun,404.035986295365,404.035986295365
"19",2016 jul,403.284439915175,403.284439915175
"20",2016 ago,402.125882788306,402.125882788306
"21",2016 set,403.396834406237,403.396834406237
"22",2016 out,403.612604700533,403.612604700533
"23",2016 nov,404.594277841074,404.594277841074
"24",2016 dez,405.613036592128,405.613036592128
"25",2017 jan,404.81633492802,404.81633492802
"26",2017 fev,404.159233886719,404.159233886719
"27",2017 mar,404.545190439438,404.545190439438
"28",2017 abr,403.947320391681,403.947320391681
"29",2017 mai,405.289837503565,405.289837503565
"30",2017 jun,405.383358631578,405.383358631578
"31",2017 jul,404.135075305473,404.135075305473
"32",2017 ago,NA,404.886208137491
"33",2017 set,405.63734096951,405.63734096951
"34",2017 out,406.30031054234,406.30031054234
"35",2017 nov,406.430480957031,406.430480957031
"36",2017 dez,406.98022400206,406.98022400206
"37",2018 jan,406.552591639639,406.552591639639
"38",2018 fev,407.883391486274,407.883391486274
"39",2018 mar,407.598937673203,407.598937673203
"40",2018 abr,406.646991191466,406.646991191466
"41",2018 mai,406.687687850152,406.687687850152
"42",2018 jun,407.160970499324,407.160970499324
"43",2018 jul,406.994896299389,406.994896299389
"44",2018 ago,407.513121385331,407.513121385331
"45",2018 set,406.286495242632,406.286495242632
"46",2018 out,407.91951745885,407.91951745885
"47",2018 nov,408.172524445976,408.172524445976
"48",2018 dez,410.074802064059,410.074802064059
"49",2019 jan,409.83041883037,409.83041883037
"50",2019 fev,410.6536996024,410.6536996024
"51",2019 mar,410.168388911656,410.168388911656
"52",2019 abr,409.973798974455,409.973798974455
"53",2019 mai,410.850681939985,410.850681939985
"54",2019 jun,410.273600936198,410.273600936198
"55",2019 jul,410.463571036436,410.463571036436
"56",2019 ago,409.953926291459,409.953926291459
"57",2019 set,410.368094546959,410.368094546959
"58",2019 out,411.758557753129,411.758557753129
"59",2019 nov,410.895855581834,410.895855581834
"60",2019 dez,412.943719271956,412.943719271956
"61",2020 jan,414.787719726562,414.787719726562
"62",2020 fev,412.373930324762,412.373930324762
"63",2020 mar,412.484457755575,412.484457755575
"64",2020 abr,413.097082399854,413.097082399854
"65",2020 mai,411.024180380951,411.024180380951
"66",2020 jun,412.781620855427,412.781620855427
"67",2020 jul,412.208246716462,412.208246716462
"68",2020 ago,410.790535530272,410.790535530272
"69",2020 set,411.286558689581,411.286558689581
"70",2020 out,412.787178039551,412.787178039551
"71",2020 nov,412.542287953695,412.542287953695
"72",2020 dez,413.228436638327,413.228436638327
"73",2021 jan,415.996244172127,415.996244172127
"74",2021 fev,414.720055262248,414.720055262248
"75",2021 mar,415.646250406901,415.646250406901
"76",2021 abr,414.625360740806,414.625360740806
"77",2021 mai,414.253705681537,414.253705681537
"78",2021 jun,415.086525206635,415.086525206635
"79",2021 jul,414.051766460192,414.051766460192
"80",2021 ago,413.997085126695,413.997085126695
"81",2021 set,414.905801288152,414.905801288152
"82",2021 out,415.309309940414,415.309309940414
"83",2021 nov,416.302127994903,416.302127994903
"84",2021 dez,416.327657063802,416.327657063802
"85",2022 jan,416.508416244664,416.508416244664
"86",2022 fev,416.136096074031,416.136096074031
"87",2022 mar,415.823178296898,415.823178296898
"88",2022 abr,416.1469808599,416.1469808599
"89",2022 mai,416.69590878694,416.69590878694
"90",2022 jun,416.939751452038,416.939751452038
"91",2022 jul,416.605483750166,416.605483750166
"92",2022 ago,416.833987467785,416.833987467785
"93",2022 set,415.042017997471,415.042017997471
"94",2022 out,416.381052886846,416.381052886846
"95",2022 nov,417.165713571479,417.165713571479
"96",2022 dez,416.112650553385,416.112650553385
